;Bytes        |8080        |8085        |gbz80|r2k|r3k|z180|z80|z80n
              |            |            |     |   |   |    |   |    
77            |ld (hl), a  |~           |     |   |   |    |   |    
              |mov m, a    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
78            |ld a, b     |~           |     |   |   |    |   |    
              |mov a, b    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
79            |ld a, c     |~           |     |   |   |    |   |    
              |mov a, c    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
7A            |ld a, d     |~           |     |   |   |    |   |    
              |mov a, d    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
7B            |ld a, e     |~           |     |   |   |    |   |    
              |mov a, e    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
7C            |ld a, h     |~           |     |   |   |    |   |    
              |mov a, h    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
7D            |ld a, l     |~           |     |   |   |    |   |    
              |mov a, l    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
7E            |ld a, (hl)  |~           |     |   |   |    |   |    
              |mov a, m    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
7E; 23        |ld a, (hl+) |~           |     |   |   |    |   |    
              |ldi a, (hl) |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
7E; 2B        |ld a, (hl-) |~           |     |   |   |    |   |    
              |ldd a, (hl) |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
7F            |ld a, a     |~           |     |   |   |    |   |    
              |mov a, a    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
80            |add a, b    |~           |     |   |   |    |   |    
              |add b       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
81            |add a, c    |~           |     |   |   |    |   |    
              |add c       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
82            |add a, d    |~           |     |   |   |    |   |    
              |add d       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
83            |add a, e    |~           |     |   |   |    |   |    
              |add e       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
84            |add a, h    |~           |     |   |   |    |   |    
              |add h       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
85            |add a, l    |~           |     |   |   |    |   |    
              |add l       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
86            |add (hl)    |~           |     |   |   |    |   |    
              |add a, (hl) |            |     |   |   |    |   |    
              |add m       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
86; 23        |add (hl+)   |~           |     |   |   |    |   |    
              |add a, (hl+)|            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
86; 2B        |add (hl-)   |~           |     |   |   |    |   |    
              |add a, (hl-)|            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
87            |add a       |~           |     |   |   |    |   |    
              |add a, a    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
88            |adc a, b    |~           |     |   |   |    |   |    
              |adc b       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
89            |adc a, c    |~           |     |   |   |    |   |    
              |adc c       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
8A            |adc a, d    |~           |     |   |   |    |   |    
              |adc d       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
8B            |adc a, e    |~           |     |   |   |    |   |    
              |adc e       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
8C            |adc a, h    |~           |     |   |   |    |   |    
              |adc h       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
8D            |adc a, l    |~           |     |   |   |    |   |    
              |adc l       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
8E            |adc (hl)    |~           |     |   |   |    |   |    
              |adc a, (hl) |            |     |   |   |    |   |    
              |adc m       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
8E; 23        |adc (hl+)   |~           |     |   |   |    |   |    
              |adc a, (hl+)|            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
8E; 2B        |adc (hl-)   |~           |     |   |   |    |   |    
              |adc a, (hl-)|            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
8F            |adc a       |~           |     |   |   |    |   |    
              |adc a, a    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
90            |sub a, b    |~           |     |   |   |    |   |    
              |sub b       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
91            |sub a, c    |~           |     |   |   |    |   |    
              |sub c       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
92            |sub a, d    |~           |     |   |   |    |   |    
              |sub d       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
93            |sub a, e    |~           |     |   |   |    |   |    
              |sub e       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
94            |sub a, h    |~           |     |   |   |    |   |    
              |sub h       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
95            |sub a, l    |~           |     |   |   |    |   |    
              |sub l       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
96            |sub (hl)    |~           |     |   |   |    |   |    
              |sub a, (hl) |            |     |   |   |    |   |    
              |sub m       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
96; 23        |sub (hl+)   |~           |     |   |   |    |   |    
              |sub a, (hl+)|            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
96; 2B        |sub (hl-)   |~           |     |   |   |    |   |    
              |sub a, (hl-)|            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
97            |sub a       |~           |     |   |   |    |   |    
              |sub a, a    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
98            |sbb b       |~           |     |   |   |    |   |    
              |sbc a, b    |            |     |   |   |    |   |    
              |sbc b       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
99            |sbb c       |~           |     |   |   |    |   |    
              |sbc a, c    |            |     |   |   |    |   |    
              |sbc c       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
9A            |sbb d       |~           |     |   |   |    |   |    
              |sbc a, d    |            |     |   |   |    |   |    
              |sbc d       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
9B            |sbb e       |~           |     |   |   |    |   |    
              |sbc a, e    |            |     |   |   |    |   |    
              |sbc e       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
9C            |sbb h       |~           |     |   |   |    |   |    
              |sbc a, h    |            |     |   |   |    |   |    
              |sbc h       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
9D            |sbb l       |~           |     |   |   |    |   |    
              |sbc a, l    |            |     |   |   |    |   |    
              |sbc l       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
9E            |sbb m       |~           |     |   |   |    |   |    
              |sbc (hl)    |            |     |   |   |    |   |    
              |sbc a, (hl) |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
9E; 23        |sbc (hl+)   |~           |     |   |   |    |   |    
              |sbc a, (hl+)|            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
9E; 2B        |sbc (hl-)   |~           |     |   |   |    |   |    
              |sbc a, (hl-)|            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
9F            |sbb a       |~           |     |   |   |    |   |    
              |sbc a       |            |     |   |   |    |   |    
              |sbc a, a    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
A0            |ana b       |~           |     |   |   |    |   |    
              |and a, b    |            |     |   |   |    |   |    
              |and b       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
A1            |ana c       |~           |     |   |   |    |   |    
              |and a, c    |            |     |   |   |    |   |    
              |and c       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
A2            |ana d       |~           |     |   |   |    |   |    
              |and a, d    |            |     |   |   |    |   |    
              |and d       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
A3            |ana e       |~           |     |   |   |    |   |    
              |and a, e    |            |     |   |   |    |   |    
              |and e       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
A4            |ana h       |~           |     |   |   |    |   |    
              |and a, h    |            |     |   |   |    |   |    
              |and h       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
A5            |ana l       |~           |     |   |   |    |   |    
              |and a, l    |            |     |   |   |    |   |    
              |and l       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
A6            |ana m       |~           |     |   |   |    |   |    
              |and (hl)    |            |     |   |   |    |   |    
              |and a, (hl) |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
A6; 23        |and (hl+)   |~           |     |   |   |    |   |    
              |and a, (hl+)|            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
A6; 2B        |and (hl-)   |~           |     |   |   |    |   |    
              |and a, (hl-)|            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
A7            |ana a       |~           |     |   |   |    |   |    
              |and a       |            |     |   |   |    |   |    
              |and a, a    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
A8            |xor a, b    |~           |     |   |   |    |   |    
              |xor b       |            |     |   |   |    |   |    
              |xra b       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
A9            |xor a, c    |~           |     |   |   |    |   |    
              |xor c       |            |     |   |   |    |   |    
              |xra c       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
AA            |xor a, d    |~           |     |   |   |    |   |    
              |xor d       |            |     |   |   |    |   |    
              |xra d       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
AB            |xor a, e    |~           |     |   |   |    |   |    
              |xor e       |            |     |   |   |    |   |    
              |xra e       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
AC            |xor a, h    |~           |     |   |   |    |   |    
              |xor h       |            |     |   |   |    |   |    
              |xra h       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
AD            |xor a, l    |~           |     |   |   |    |   |    
              |xor l       |            |     |   |   |    |   |    
              |xra l       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
AE            |xor (hl)    |~           |     |   |   |    |   |    
              |xor a, (hl) |            |     |   |   |    |   |    
              |xra m       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
AE; 23        |xor (hl+)   |~           |     |   |   |    |   |    
              |xor a, (hl+)|            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
AE; 2B        |xor (hl-)   |~           |     |   |   |    |   |    
              |xor a, (hl-)|            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
AF            |xor a       |~           |     |   |   |    |   |    
              |xor a, a    |            |     |   |   |    |   |    
              |xra a       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
B0            |or a, b     |~           |     |   |   |    |   |    
              |or b        |            |     |   |   |    |   |    
              |ora b       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
B1            |or a, c     |~           |     |   |   |    |   |    
              |or c        |            |     |   |   |    |   |    
              |ora c       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
B2            |or a, d     |~           |     |   |   |    |   |    
              |or d        |            |     |   |   |    |   |    
              |ora d       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
B3            |or a, e     |~           |     |   |   |    |   |    
              |or e        |            |     |   |   |    |   |    
              |ora e       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
B4            |or a, h     |~           |     |   |   |    |   |    
              |or h        |            |     |   |   |    |   |    
              |ora h       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
B5            |or a, l     |~           |     |   |   |    |   |    
              |or l        |            |     |   |   |    |   |    
              |ora l       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
B6            |or (hl)     |~           |     |   |   |    |   |    
              |or a, (hl)  |            |     |   |   |    |   |    
              |ora m       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
B6; 23        |or (hl+)    |~           |     |   |   |    |   |    
              |or a, (hl+) |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
B6; 2B        |or (hl-)    |~           |     |   |   |    |   |    
              |or a, (hl-) |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
B7            |or a        |~           |     |   |   |    |   |    
              |or a, a     |            |     |   |   |    |   |    
              |ora a       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
B8            |cmp b       |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
B9            |cmp c       |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
BA            |cmp d       |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
BB            |cmp e       |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
BC            |cmp h       |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
BD            |cmp l       |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
BE            |cmp m       |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
BF            |cmp a       |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
C0            |ret nz      |~           |     |   |   |    |   |    
              |rnz         |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
C1            |pop b       |~           |     |   |   |    |   |    
              |pop bc      |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
C2 %m %m      |jnz %m      |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
C3 %m %m      |jmp %m      |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
C4 %m %m      |call nz, %m |~           |     |   |   |    |   |    
              |cnz %m      |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
C5            |push b      |~           |     |   |   |    |   |    
              |push bc     |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
C5; C9        |jp (bc)     |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
C6 %n         |add %n      |~           |     |   |   |    |   |    
              |add a, %n   |            |     |   |   |    |   |    
              |adi %n      |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
C7            |rst 0       |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
C8            |ret z       |~           |     |   |   |    |   |    
              |rz          |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
C9            |ret         |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
CA %m %m      |jz %m       |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
CB            |            |ovrst8      |     |   |   |    |   |    
              |            |rstv        |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
CC %m %m      |call z, %m  |~           |     |   |   |    |   |    
              |cz %m       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
CD %m %m      |call %m     |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
CE %n         |aci %n      |~           |     |   |   |    |   |    
              |adc %n      |            |     |   |   |    |   |    
              |adc a, %n   |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
CF            |rst 1       |~           |     |   |   |    |   |    
              |rst 8       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
D0            |ret nc      |~           |     |   |   |    |   |    
              |rnc         |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
D1            |pop d       |~           |     |   |   |    |   |    
              |pop de      |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
D2 %m %m      |jnc %m      |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
D3 %n         |out %n      |~           |     |   |   |    |   |    
              |out (%n), a |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
D4 %m %m      |call nc, %m |~           |     |   |   |    |   |    
              |cnc %m      |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
D5            |push d      |~           |     |   |   |    |   |    
              |push de     |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
D5; C9        |jp (de)     |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
D6 %n         |sub %n      |~           |     |   |   |    |   |    
              |sub a, %n   |            |     |   |   |    |   |    
              |sui %n      |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
D7            |rst 16      |~           |     |   |   |    |   |    
              |rst 2       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
D8            |rc          |~           |     |   |   |    |   |    
              |ret c       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
D9            |            |ld (de), hl |     |   |   |    |   |    
              |            |shlde       |     |   |   |    |   |    
              |            |shlx        |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
DA %m %m      |jc %m       |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
DB %n         |in %n       |~           |     |   |   |    |   |    
              |in a, (%n)  |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
DC %m %m      |call c, %m  |~           |     |   |   |    |   |    
              |cc %m       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
DD %m %m      |            |jnk %m      |     |   |   |    |   |    
              |            |jnx5 %m     |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
DE %n         |sbc %n      |~           |     |   |   |    |   |    
              |sbc a, %n   |            |     |   |   |    |   |    
              |sbi %n      |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
DF            |rst 24      |~           |     |   |   |    |   |    
              |rst 3       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
E0            |ret po      |~           |     |   |   |    |   |    
              |rpo         |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
E1            |pop h       |~           |     |   |   |    |   |    
              |pop hl      |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
E2 %m %m      |jpo %m      |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
E3            |ex (sp), hl |~           |     |   |   |    |   |    
              |xthl        |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
E4 %m %m      |call po, %m |~           |     |   |   |    |   |    
              |cpo %m      |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
E5            |push h      |~           |     |   |   |    |   |    
              |push hl     |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
E6 %n         |and %n      |~           |     |   |   |    |   |    
              |and a, %n   |            |     |   |   |    |   |    
              |ani %n      |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
E7            |rst 32      |~           |     |   |   |    |   |    
              |rst 4       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
E8            |ret pe      |~           |     |   |   |    |   |    
              |rpe         |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
E9            |jp (hl)     |~           |     |   |   |    |   |    
              |pchl        |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
EA %m %m      |jpe %m      |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
EB            |ex de, hl   |~           |     |   |   |    |   |    
              |xchg        |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
EC %m %m      |call pe, %m |~           |     |   |   |    |   |    
              |cpe %m      |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
ED            |            |ld hl, (de) |     |   |   |    |   |    
              |            |lhlde       |     |   |   |    |   |    
              |            |lhlx        |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
EE %n         |xor %n      |~           |     |   |   |    |   |    
              |xor a, %n   |            |     |   |   |    |   |    
              |xri %n      |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
EF            |rst 40      |~           |     |   |   |    |   |    
              |rst 5       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
F0            |ret p       |~           |     |   |   |    |   |    
              |rp          |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
F1            |pop af      |~           |     |   |   |    |   |    
              |pop psw     |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
F2 %m %m      |jp %m       |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
F3            |di          |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
F4 %m %m      |call p, %m  |~           |     |   |   |    |   |    
              |cp %m       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
F5            |push af     |~           |     |   |   |    |   |    
              |push psw    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
F6 %n         |or %n       |~           |     |   |   |    |   |    
              |or a, %n    |            |     |   |   |    |   |    
              |ori %n      |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
F7            |rst 48      |~           |     |   |   |    |   |    
              |rst 6       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
F8            |ret m       |~           |     |   |   |    |   |    
              |rm          |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
F9            |ld sp, hl   |~           |     |   |   |    |   |    
              |sphl        |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
FA %m %m      |jm %m       |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
FB            |ei          |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
FC %m %m      |call m, %m  |~           |     |   |   |    |   |    
              |cm %m       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
FD %m %m      |            |jk %m       |     |   |   |    |   |    
              |            |jx5 %m      |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
FE %n         |cpi %n      |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
FF            |rst 56      |~           |     |   |   |    |   |    
              |rst 7       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
